ATP,Location,Tournament,Date,Series,Court,Surface,Round,RoundId,Best of,Winner,Loser,WRank,LRank,WPts,LPts,Wsets,Lsets,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5
39,London,Wimbledon,27/6/22,Grand Slam,Outdoor,Grass,1st Round,1,5,Djokovic N.,Kwon S.W.,3,81,6770,698,3,1,6,3,3,6,6,3,6,4,,
39,London,Wimbledon,29/6/22,Grand Slam,Outdoor,Grass,2nd Round,2,5,Djokovic N.,Kokkinakis T.,3,79,6770,728,3,0,6,1,6,4,6,2,,,,
39,London,Wimbledon,1/7/22,Grand Slam,Outdoor,Grass,3rd Round,3,5,Djokovic N.,Kecmanovic M.,3,30,6770,1306,3,0,6,0,6,3,6,4,,,,
39,London,Wimbledon,3/7/22,Grand Slam,Outdoor,Grass,4th Round,4,5,Djokovic N.,Van Rijthoven T.,3,104,6770,546,3,1,6,2,4,6,6,1,6,2,,
39,London,Wimbledon,5/7/22,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Djokovic N.,Sinner J.,3,13,6770,3185,3,2,5,7,2,6,6,3,6,2,6,2
39,London,Wimbledon,8/7/22,Grand Slam,Outdoor,Grass,Semifinals,6,5,Djokovic N.,Norrie C.,3,12,6770,3200,3,1,2,6,6,3,6,2,6,4,,
39,London,Wimbledon,10/7/22,Grand Slam,Outdoor,Grass,The Final,7,5,Djokovic N.,Kyrgios N.,3,40,6770,1070,3,1,4,6,6,3,6,4,7,6,,
36,London,Wimbledon,28/6/21,Grand Slam,Outdoor,Grass,1st Round,1,5,Djokovic N.,Draper J.,1,253,12113,255,3,1,4,6,6,1,6,2,6,2,,
36,London,Wimbledon,30/6/21,Grand Slam,Outdoor,Grass,2nd Round,2,5,Djokovic N.,Anderson K.,1,102,12113,753,3,0,6,3,6,3,6,3,,,,
36,London,Wimbledon,2/7/21,Grand Slam,Outdoor,Grass,3rd Round,3,5,Djokovic N.,Kudla D.,1,114,12113,698,3,0,6,4,6,3,7,6,,,,
36,London,Wimbledon,5/7/21,Grand Slam,Outdoor,Grass,4th Round,4,5,Djokovic N.,Garin C.,1,20,12113,2440,3,0,6,2,6,4,6,2,,,,
36,London,Wimbledon,7/7/21,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Djokovic N.,Fucsovics M.,1,48,12113,1344,3,0,6,3,6,4,6,4,,,,
36,London,Wimbledon,9/7/21,Grand Slam,Outdoor,Grass,Semifinals,6,5,Djokovic N.,Shapovalov D.,1,12,12113,2915,3,0,7,6,7,5,7,5,,,,
36,London,Wimbledon,11/7/21,Grand Slam,Outdoor,Grass,The Final,7,5,Djokovic N.,Berrettini M.,1,9,12113,4468,3,1,6,7,6,4,6,4,6,3,,
39,London,Wimbledon,1/7/19,Grand Slam,Outdoor,Grass,1st Round,1,5,Djokovic N.,Kohlschreiber P.,1,57,12415,885,3,0,6,3,7,5,6,3,,,,
39,London,Wimbledon,3/7/19,Grand Slam,Outdoor,Grass,2nd Round,2,5,Djokovic N.,Kudla D.,1,111,12415,520,3,0,6,3,6,2,6,2,,,,
39,London,Wimbledon,5/7/19,Grand Slam,Outdoor,Grass,3rd Round,3,5,Djokovic N.,Hurkacz H.,1,48,12415,959,3,1,7,5,6,7,6,1,6,4,,
39,London,Wimbledon,8/7/19,Grand Slam,Outdoor,Grass,4th Round,4,5,Djokovic N.,Humbert U.,1,66,12415,822,3,0,6,3,6,2,6,3,,,,
39,London,Wimbledon,10/7/19,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Djokovic N.,Goffin D.,1,23,12415,1510,3,0,6,4,6,0,6,2,,,,
39,London,Wimbledon,12/7/19,Grand Slam,Outdoor,Grass,Semifinals,6,5,Djokovic N.,Bautista Agut R.,1,22,12415,1600,3,1,6,2,4,6,6,3,6,2,,
39,London,Wimbledon,14/07/19,Grand Slam,Outdoor,Grass,The Final,7,5,Djokovic N.,Federer R.,1,3,12415,6620,3,2,7,6,1,6,7,6,4,6,13,12
40,London,Wimbledon,3/7/18,Grand Slam,Outdoor,Grass,1st Round,1,5,Djokovic N.,Sandgren T.,21,57,1715,923,3,0,6,3,6,1,6,2,,,,
40,London,Wimbledon,5/7/18,Grand Slam,Outdoor,Grass,2nd Round,2,5,Djokovic N.,Zeballos H.,21,126,1715,438,3,0,6,1,6,2,6,3,,,,
40,London,Wimbledon,7/7/18,Grand Slam,Outdoor,Grass,3rd Round,3,5,Djokovic N.,Edmund K.,21,17,1715,1950,3,1,4,6,6,3,6,2,6,4,,
40,London,Wimbledon,9/7/18,Grand Slam,Outdoor,Grass,4th Round,4,5,Djokovic N.,Khachanov K.,21,40,1715,1130,3,0,6,4,6,2,6,2,,,,
40,London,Wimbledon,11/7/18,Grand Slam,Outdoor,Grass,Quarterfinals,5,5,Djokovic N.,Nishikori K.,21,28,1715,1530,3,1,6,3,3,6,6,2,6,2,,
40,London,Wimbledon,14/07/18,Grand Slam,Outdoor,Grass,Semifinals,6,5,Djokovic N.,Nadal R.,21,1,1715,8770,3,2,6,4,3,6,7,6,3,6,10,8
40,London,Wimbledon,15/07/18,Grand Slam,Outdoor,Grass,The Final,7,5,Djokovic N.,Anderson K.,21,8,1715,3635,3,0,6,2,6,2,7,6,,,,
